Kunta,C,100;Mjtunnus,N,10,0;Kohdenimi,C,100;Ajoitus,C,254;Tyyppi,C,100;Alatyyppi,C,100;Laji,C,100;I,N,31,15;P,N,31,15;Paikannust,N,10,0;Paikannu00,N,10,0;Selite,C,254;Tuhoutunut,C,100;Luontipvm,D;Muutospvm,D;Zala,N,14,2;Zylä,N,14,2;Vedenalain,C,1
Parainen;1577;Oxholm 1;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;199026.387;6690734.579;11003;0;paikannettu käsin piirretyn kartan perusteella kansalaisen karttapaikan avulla, epätarkka paikkatieto;Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1582;Storpensorin hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;197146.143;6690559.64;11003;0;paikannettu käsin piirretyn kartan mukaan kansalaisen karttapaikan avulla, epätarkka paikkatieto;Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1583;Lom;historiallinen;alusten hylyt;hylyt (puu);muu kohde;204560.245;6674336.189;11002;0;Paikannettu ilmoittajan karttapiirroksen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1551;Inga;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;229001.654;6631439.546;11002;0;Paikannettu karttaliitteen mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Salo;1507;Förby;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;269930.026;6667537.259;11004;0;Epätarkka sijaintitieto. Kohteen kerrotaan olevan viikinkihautojen kohdalla salmessa. Salmi mahdollisesti Vähämaan ja Niksaaren välissä?;Ei;19.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1510;Mattörar;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;258873.644;6633896.718;11002;0;Paikannettu Sukellusseura Simppu ry/Jukka Sulku kartan mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Raasepori;1477;Segelskär 2;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;296260.634;6630592.236;11002;0;Paikannettu karttaliitteen mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Raasepori;1481;Tallholmen;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;268266.803;6646156.837;11004;0;Paikannettu uudestaan J. Sulkun karttapiirroksen perusteella. Huom. Sulkun tieto eroaa huomattavasti Kai Kaartisen sijaintikäsityksestä. Eri ilmoituksissa myös eri syvyydet.;Ei;15.11.01;28.01.11;0.00;0.00;k
Raasepori;1450;Norruddin hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;316793.277;6650855.195;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
Raasepori;1454;Långösund 4;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;317166.132;6650360.402;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
