Kunta,C,100;Mjtunnus,N,10,0;Kohdenimi,C,100;Ajoitus,C,254;Tyyppi,C,100;Alatyyppi,C,100;Laji,C,100;I,N,31,15;P,N,31,15;Paikannust,N,10,0;Paikannu00,N,10,0;Selite,C,254;Tuhoutunut,C,100;Luontipvm,D;Muutospvm,D;Zala,N,14,2;Zylä,N,14,2;Vedenalain,C,1
Parainen;1000027683;Korsnäs viken 1;historiallinen;alusten hylyt;hylyt (puu);muu kohde;212982;6680394;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;26.01.16;26.01.16;0.00;0.00;k
Kemiönsaari;1000022633;Morgonlandet lounaispuoli;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;254882;6630840;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;26.01.16;26.01.16;0.00;0.00;k
Parainen;1000027685;Risis viken;;alusten hylyt;ei määritelty;muu kohde;210294;6680412;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;26.01.16;26.01.16;0.00;0.00;k
Hanko;1000026496;Hangonkylän satama;;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;273148;6640866;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;11.05.15;;0.00;0.00;k
Hämeenlinna;1000026510;Syrjänalunen;ajoittamaton;alusten hylyt;hylyt (puu);löytöpaikka;400194;6785767;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;14.05.15;;0.00;0.00;k
Oulu;1000026667;Huikosenniemi;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;423985;7218971;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;17.06.15;17.06.15;0.00;0.00;K
Uusikaupunki;1687;Juhannenmerenkarta;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;190854;6775855;11002;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;06.10.15;07.10.15;0.00;0.00;k
Uusikaupunki;1686;John;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;192086;6777501;11002;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;06.10.15;07.10.15;0.00;0.00;k
Rauma;1000027872;Drott;historiallinen;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;182279;6793572;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;26.02.16;26.02.16;0.00;0.00;k
Taipalsaari;1000026670;Konstunluoto;;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;557853;6778052;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;17.06.15;17.06.15;0.00;0.00;k
Kouvola;1000026651;Riihijärvi;;alusten hylyt;ruuhet;mahdollinen muinaisjäännös;480001;6779147;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;12.06.15;12.06.15;0.00;0.00;k
Eurajoki;1000031003;Verkkoranta;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;209069;6818129;0;0;;Ei;04.07.17;;0.00;0.00;k
Kemiönsaari;1000019095;Schillersgrundet;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;239888;6636978;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;21.09.11;;0.00;0.00;k
Parainen;1000027684;Korsnäs viken 2;;alusten hylyt;ei määritelty;muu kohde;212911;6680328;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;26.01.16;26.01.16;0.00;0.00;k
Rantasalmi;1000019147;Vuorisaari;;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;572322;6892517;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;29.09.11;;0.00;0.00;k
Helsinki;1000019113;Kruunuvuorenselkä Pormestarinhepo;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;387688;6670533;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;23.09.11;;0.00;0.00;k
Närpiö;1000030997;Österfjärden;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;201689;6942530;0;0;;Ei;28.06.17;;0.00;0.00;k
Raasepori;2477;Engelsmansbrotten 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;313171;6636380;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;14.03.16;14.03.16;0.00;0.00;k
Porvoo;1042;Onas eteläranta;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;418343;6673595;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;08.08.16;08.08.16;0.00;0.00;k
Imatra;1000028614;Paasinsalmi 3;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;595731;6789317;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;28.07.16;28.07.16;0.00;0.00;k
Lohja;2483;Vahermanjärvi itäranta;ei määritelty;alusten hylyt;ruuhet;muu kohde;335395;6718572;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;29.12.11;;0.00;0.00;k
Eurajoki;1724;Leonhard;historiallinen;alusten hylyt;hylyt (puu);muu kohde;201024;6828046;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;02.01.12;;0.00;0.00;k
Helsinki;1000028653;Ramsinsalmi;moderni;alusten hylyt;ei määritelty;muu kohde;394012;6674124;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;09.08.16;09.08.16;0.00;0.00;k
Puumala;1000019222;Pitkänpohjanlahti;historiallinen;alusten hylyt;hylyt (puu);muu kohde;559956;6823128;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;01.11.11;;0.00;0.00;k
Kemiönsaari;1527;Bengtskär lounaispuoli;historiallinen;alusten hylyt;hylyt (metalli);muu kulttuuriperintökohde;243934;6625786;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;17.10.11;;0.00;0.00;k
Tohmajärvi;1000019224;Kukkolampi;;alusten hylyt;ruuhet;muu kohde;688269;6905452;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;01.11.11;;0.00;0.00;k
Puumala;2588;Mammonen;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;557776;6827735;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;29.12.11;;0.00;0.00;k
Merikarvia;1762;Faarinkarit;historiallinen;alusten hylyt;hylyt (puu);muu kohde;205608;6876852;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;23.07.12;;0.00;0.00;k
Laitila;1000020426;Isomatosaari;historiallinen;alusten hylyt;ruuhet;löytöpaikka;215720;6746456;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;21.08.12;;21.00;0.00;e
Savonlinna;1000020536;Pääskylahti 3;historiallinen;alusten hylyt;hylyt (puu);muu kohde;601982;6859266;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;31.10.12;;0.00;0.00;k
Kirkkonummi;1000020452;Systrarna itäpuoli;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;369444;6659425;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;14.11.12;;0.00;0.00;k
Imatra;1000028610;Paasinsalmi 1;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;595733;6789346;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;28.07.16;28.07.16;0.00;0.00;k
Raasepori;1000031863;Trutlandsgrunden;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;307897;6633421;0;0;;Ei;10.01.18;;0.00;0.00;k
Imatra;1000028613;Paasinsalmi 2;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;595768;6789343;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;28.07.16;28.07.16;0.00;0.00;k
Helsinki;1298;Husunkivi;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;386750;6668729;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;30.11.11;;0.00;0.00;k
Espoo;1000018849;Nuottalahti;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;373519;6670034;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;07.06.11;;0.00;0.00;k
Pori;1748;Tukkiviiki 8;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;205278;6844462;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;05.01.12;;0.00;0.00;k
Porvoo;1045;Kalbådagrund 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;421962;6651234;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;27.01.12;;0.00;0.00;k
Porvoo;1069;Kalbådagrund 2;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;422364;6651485;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;27.01.12;;0.00;0.00;k
Inkoo;1426;Pohjoinen Kotka;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;333113;6653793;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;23.01.13;;0.00;0.00;k
Tornio;1000018816;Näätsaari;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;370107;7300840;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;24.05.11;;0.00;0.00;k
Pori;2594;Everilda;historiallinen;alusten hylyt;hylyt (metalli);kiinteä muinaisjäännös;195446.121;6836410.079;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;07.01.11;28.01.11;0.00;0.00;k
Uusikaarlepyy;1819;Glasmästaren;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;268164.015;7060143.557;11002;0;kartan mukaan paikannettu;Ei;05.12.01;28.01.11;0.00;0.00;k
Vöyri;1817;Atlanta;historiallinen;alusten hylyt;hylyt (puu);muu kohde;242641.301;7048454.161;11002;0;Paikannettu karttaliitteen mukaan;Ei;05.12.01;28.01.11;0.00;0.00;k
Tampere;1000023175;Särkänniemi 3;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;326818;6823683;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;28.01.14;;0.00;0.00;k
Oulu;1866;Kiikeli;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;427330.554;7210912.508;11002;0;Paikannettu karttaliitteen mukaan Kansalaisen karttapaikan avulla;Ei;10.12.01;28.01.11;0.00;0.00;k
Mustasaari;1818;Köklot;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;231034.03;7030330.385;11003;0;Paikannettu sanallisen selitteen mukaan, epätarkat paikkatiedot;Ei;05.12.01;28.01.11;0.00;0.00;k
Kokkola;1850;Marienborg;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;295134.049;7098543.232;11004;0;epätarkka paikkatieto, paikannettu ilmoittajan piirtämän epäselvän kartan mukaan kansalaisen karttapaikan avulla;Ei;07.12.01;28.01.11;0.00;0.00;k
Uusikaarlepyy;1829;Furuskärssundet;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;270067.24;7062065.792;11003;0;paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot, ei tietoa mistä salmen osasta rakenneosat nostettu;Ei;07.12.01;28.01.11;0.00;0.00;k
Helsinki;1000018640;Pohjoissatama Halkolaituri;historiallinen;alusten hylyt;hylyt (puu);muu kohde;386957;6672147;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;05.04.11;;0.00;0.00;k
Inkoo;1433;Bastö länsipuoli 2;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;329415.21;6649662.746;11001;0;Paikallistettu koordinaattien mukaan;Ei;13.11.01;28.01.11;0.00;0.00;k
Raasepori;1441;Jussarö 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;308411.712;6637692.45;11002;0;Paikannettu Sukellusseura H2O meriarkeologialeirin kartan (2001) mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
Inkoo;1000018586;Kobbholmen;;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;324417;6649401;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;29.03.11;;0.00;0.00;k
Mäntyharju;1000018600;Ylä-Rieveli 1;;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;478718.2;6806869.478;11002;0;;Ei;30.03.11;30.03.11;0.00;0.00;K
Inkoo;1424;Degerö;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;341581.291;6655094.617;11002;0;Paikannettu Sukeltajat ry kartan mukaan, hieman epätarkat paikkatiedot;Ei;13.11.01;28.01.11;0.00;0.00;k
Raasepori;1000018587;Trollshovdaviken;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;281365;6663855;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;29.03.11;;0.00;0.00;k
Inkoo;1430;Barölandet Lillgrund;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;326426.389;6653969.995;11002;0;Paikannettu Sukeltajat ry kartan mukaan;Ei;13.11.01;28.01.11;0.00;0.00;k
Raasepori;1444;Bockholmen;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;308787.539;6642184.644;11002;0;Paikannettu ilmoittajan karttaliitteen mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
Raasepori;1472;Äggharun 2;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;295347.968;6636731.768;11002;0;Paikannettu Lasse Haapamäki/Sukellusseura Calypso ry kartan (1999) mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Raasepori;1475;Mattholmen;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;300451.889;6641993.674;11002;0;Paikannettu Henrik Janssonin kartan (1999) mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Raasepori;1491;Seuko länsiranta;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;283758.498;6661890.596;11004;0;Paikannettu summittaisen karttaliitteen mukaan, epätarkat paikkatiedot;Ei;16.11.01;28.01.11;0.00;0.00;k
Raasepori;1492;Parharun;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;295850.76;6638315.127;11003;0;Paikannettu ilmoittajan karttaliitteen mukaan, epätarkat paikkatiedot;Ei;16.11.01;28.01.11;0.00;0.00;k
Raasepori;1439;Esselholm;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;314815.105;6644726.655;11002;0;Paikannettu Calypso ry kartan (1997) mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
Raasepori;1442;Jussarö 3;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;307949.901;6637609.482;11001;0;Paikannettu Sukellusseura H2O arkeologialeirin karttojen (2001) mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
Raasepori;1462;Skyffelskär;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;300636.846;6637093.643;11002;0;Paikannettu Ekenäs sportdykare PIRAYA kartan (2000) mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1535;Purunpää Oxholmen 2;ei määritelty;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;243322.754;6660576.915;11002;0;paikannettu Lauri  Ljungqvistin 1987 kartan mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1558;Käringen;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;248625.708;6643733.704;11002;0;Paikannettu ilmoittajan karttaliitteen mukaan;Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1569;Petsor;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;212006.246;6676933.189;11002;0;Paikannettu Vaheri-Hyvärinen-Saari-kirjan  s. 269 kartan mukaan (hieman epätarkka);Ei;21.11.01;28.01.11;0.00;0.00;k
Helsinki;1309;Bändarn 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;390287;6661482;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;09.02.12;;0.00;0.00;k
Raasepori;1445;Östergaddenin lounaiskärki;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;307998.899;6634060.906;11002;0;Paikannettu Sukellusseura H2O:n kartan  (2001) mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
Raasepori;1447;Rysskär;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;306504.473;6639212.827;11002;0;Paikannettu Sukellusseura H2O kartan (2001) mukaan;Ei;14.11.01;28.01.11;0.00;0.00;k
Inkoo;1435;Västra Långö;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;337263.033;6654064.014;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;13.11.01;28.01.11;0.00;0.00;k
Inkoo;1438;Mokulla;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;334241.22;6658843.081;11002;0;Paikannettu ilmoittajan karttaliitteen mukaan (Muistinvarainen, voi olla epätarkka);Ei;14.11.01;28.01.11;0.00;0.00;k
Raasepori;1443;Jussarön itäinen lahti;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;308326.748;6636974.734;11002;0;Paikannettu Sukellusseura H2O arkeologialeirin kartan (2001) mukaan;Ei;14.11.01;22.07.16;0.00;0.00;k
Raasepori;1471;Aspharun;historiallinen;alusten hylyt;hylyt (puu);muu kohde;293334.757;6640798.124;11002;0;Paikannettu Vaheri-Hyvärinen-Saari:Hylkyjä Suomenlahdella ja Saaristomerellä, 1996, 295 sukelluskohdekartan mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1538;Ånholmenin hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;245767.773;6660274.05;11002;0;Paikannettu  Rannikkosukeltajat ry/Kaj Enholm  kartan (1998) mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1560;Avomeri;historiallinen;alusten hylyt;hylyt (puu);muu kohde;239916.355;6616026.798;11002;0;Paikannettu koordinaattien mukaan;Ei;21.11.01;28.01.11;0.00;0.00;k
Siuntio;1422;Pikkalanjoen hylky;ei määritelty;alusten hylyt;ei määritelty;muu kohde;349576.024;6665662.417;11004;0;sanallisen selostuksen perusteella paikannettu, epätarkat paikkatiedot;Ei;13.11.01;28.01.11;0.00;0.00;k
Raasepori;1496;Billnäs 1;;alusten hylyt;hylyt (puu);muu kohde;312765.818;6666090.057;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;16.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1500;Tolvsnäs;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;245787.659;6680520.911;11002;0;Paikannettu ilmoituksen piirroskartan mukaan;Ei;16.11.01;28.01.11;0.00;0.00;k
Salo;1505;Finby Båseudd;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;275928.605;6669723.411;11002;0;Paikannettu ilmoittajan karttaliitteen mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1553;Kalkskärin hylky;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;223713.747;6636694.41;11003;0;Paikannettu karttaliitteen mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1555;Kalvholmen;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;247847.001;6647589.154;11002;0;Paikannettu Jari Näräsen raportin(1995) kartan mukaan;Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1566;Saksalainen moottorivene;historiallinen;alusten hylyt;hylyt (puu);muu kohde;228048.806;6676634.382;11000;0;Pentti Kangassuon piirroskartan mukaan paikannettu (hieman epätarkka);Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1590;Skeppsbådarna pohjoispuoli;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;210168.2;6635381.866;11002;0;Paikannettu Ilkka Sirkiän karttaliitteen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Parainen;1606;Järvis;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;183934.46;6687911.63;11002;0;Paikannettu karttaliitteen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Kustavi;1635;Juslenin ranta;ei määritelty;alusten hylyt;hylyt (puu);muu kohde;196873.107;6718206.536;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;26.11.01;28.01.11;0.00;0.00;k
Kustavi;1638;Laupunen Heponiemi;ei määritelty;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;194288.147;6718094.573;11004;0;Paikannettu sanallisen selitteen mukaan, epätarkat paikkatiedot;Ei;26.11.01;28.01.11;0.00;0.00;k
Kristiinankaupunki;1770;Kaupunginlahti;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;208467.542;6916773.875;11002;0;Paikannettu karttaliitteen mukaan;Ei;03.12.01;28.01.11;0.00;0.00;k
Maalahti;1796;Storgadden;ei määritelty;alusten hylyt;ei määritelty;muu kohde;186988.844;6995613.152;11003;0;paikannettu sanallisen selostuksen mukaan, epätarkka paikkatieto;Ei;04.12.01;28.01.11;0.00;0.00;k
Korsnäs;1797;Jullkall;historiallinen;alusten hylyt;hylyt (puu);mahdollinen muinaisjäännös;192160.775;6992593.383;11004;0;Erkki Metsävuoren kartan mukaan paikannettu, epätarkka paikkatieto;Ei;04.12.01;28.01.11;0.00;0.00;k
Raasepori;1463;Trelänningen;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;297260.188;6639057.836;11002;0;Paikannettu ilmoittajan karttaliitteen mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Raasepori;1468;Ropanlängden;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;298766.632;6630277.373;11003;0;Paikannettu Vaheri-Hyvärinen-Saari s. 275 kartan perusteella, epätarkat paikkatiedot;Ei;15.11.01;28.01.11;0.00;0.00;k
Raasepori;1469;Nitlaxviken;historiallinen;alusten hylyt;hylyt (puu);muu kohde;283200.75;6656572.733;11002;0;Paikannettu karttaliitteen mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Raasepori;1474;Lökholmen;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;300559.847;6641335.939;11002;0;Paikannettu Henrik Janssonin kartan (1999) mukaan;Ei;15.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1497;Elmdal Långholmen;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;270165.89;6676011.854;11002;0;Paikannettu karttaliitteen mukaan;Ei;16.11.01;28.01.11;0.00;0.00;k
Salo;1503;Strömman kanava 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;271423.362;6679634.404;11003;0;Paikannettu sanallisen selosteen mukaan, puutteelliset paikkatiedot;Ei;16.11.01;28.01.11;0.00;0.00;k
Oulu;1000018267;Räinänlahti;;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;420805;7238310;11001;1;viistokaikuohjelman antamat koordinaatit;Ei;04.04.11;04.04.11;0.00;0.00;k
Helsinki;1000018604;Matosaari 3;;alusten hylyt;hylyt (puu);muu kohde;393491;6670183;0;0;Piste on luotu automaattisesti tietokannan koordinaattien avulla;Ei;04.04.11;;0.00;0.00;k
Parainen;1601;Södö;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;179171.305;6701419.185;11002;0;Paikannettu karttaliitteen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Parainen;1672;Torsholm;historiallinen;alusten hylyt;hylyt (metalli);muu kohde;183939.702;6640047.852;11002;0;Paikannettu karttaliitteen mukaan;Ei;27.11.01;28.01.11;0.00;0.00;k
Närpiö;1788;Voima;historiallinen;alusten hylyt;ei määritelty;muu kohde;194952.848;6946350.948;11002;0;Paikannettu piirroskartan mukaan;Ei;04.12.01;28.01.11;0.00;0.00;k
Kemiönsaari;1519;Galbyskärsudden;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;244468.411;6637123.345;11002;0;Paikannettu ilmoittajan karttaliitteen mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Kotka;1532;Halssinsaari 2;ajoittamaton;alusten hylyt;ei määritelty;mahdollinen muinaisjäännös;499311.612;6699740.443;11001;0;Paikannettu koordinaattien mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1533;Purunpää Oxholmen 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;243500.68;6660527.935;11002;0;Paikannettu ilmoittajan kartan mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1552;Alfred;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;229595.336;6647157.233;11002;0;Paikannettu koordinaattien mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Parainen;1568;Haverö 1;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;225215.876;6689187.33;11003;0;Paikannus Vaheri-Hyvärinen-Saari s. 269 kartan perusteella  (epätarkat paikkatiedot);Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1595;Armo Strömmen;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;191770.282;6693622.384;11002;0;Paikannettu karttaliitteen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Salo;1504;Förby Bergvik;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;269914.021;6668968.681;11002;0;Paikannettu ilmoituksen karttaliitteen mukaan;Ei;16.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1520;Buskären;historiallinen;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;244466.413;6637712.103;11002;0;Paikannettu Ilmoittajan karttaliitteen mukaan;Ei;19.11.01;28.01.11;0.00;0.00;k
Kemiönsaari;1537;Skogsskärin hylky;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;235840.762;6658626.664;11002;0;paikannettu Sukeltajat ry  kartan mukaan;Ei;20.11.01;28.01.11;0.00;0.00;k
Parainen;1562;Haverö itäpuoli;historiallinen;alusten hylyt;hylyt (puu);muu kulttuuriperintökohde;228256.653;6689073.395;11002;0;Paikannettu Sukeltajat ry kartan perusteella;Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1564;Stora Sådik;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;216478.39;6688585.529;11003;0;Karttaliitteen perusteella paikannettu;Ei;21.11.01;28.01.11;0.00;0.00;k
Parainen;1600;Medelby Böle;ei määritelty;alusten hylyt;ei määritelty;kiinteä muinaisjäännös;190466.84;6687617.784;11002;0;Paikannettu karttaliitteen mukaan;Ei;22.11.01;28.01.11;0.00;0.00;k
Kaarina;1634;Kuusiston hylky I;ei määritelty;alusten hylyt;hylyt (puu);kiinteä muinaisjäännös;251027.426;6705369.963;11003;0;Paikannettu sanallisen selostuksen mukaan, epätarkat paikkatiedot;Ei;26.11.01;28.01.11;0.00;0.00;k
